epoch,step,train/loss,train/mu_mse,train/sigma_nll,val/loss,val/mu_mse,val/sigma_nll,val/z_std
0,49,2.5427935123443604,1.08133864402771,1.4614548683166504,,,,
0,99,2.458667755126953,1.0257537364959717,1.432913899421692,,,,
0,149,2.508200168609619,1.058188557624817,1.4500117301940918,,,,
0,199,2.19266676902771,0.8617741465568542,1.330892562866211,,,,
0,199,,,,2.2082722187042236,0.8851192593574524,1.323152780532837,0.9630985856056213
1,249,2.0057761669158936,0.7746383547782898,1.231137752532959,,,,
1,299,2.0165646076202393,0.8004850745201111,1.2160794734954834,,,,
1,349,1.9111745357513428,0.7470143437385559,1.164160132408142,,,,
1,399,1.8649046421051025,0.7281356453895569,1.1367690563201904,,,,
1,399,,,,1.885524034500122,0.7326635122299194,1.1528606414794922,0.936955988407135
2,449,1.8433457612991333,0.7179229259490967,1.1254228353500366,,,,
2,499,1.717307209968567,0.6513817310333252,1.0659254789352417,,,,
2,549,1.6698756217956543,0.6307610869407654,1.0391144752502441,,,,
2,599,1.7385339736938477,0.6709953546524048,1.0675386190414429,,,,
2,599,,,,1.7125595808029175,0.6423802971839905,1.0701793432235718,0.9425163269042969
3,649,1.6026277542114258,0.591164767742157,1.0114630460739136,,,,
3,699,1.5390452146530151,0.5694745779037476,0.9695706367492676,,,,
3,749,1.5858089923858643,0.6147183179855347,0.9710906147956848,,,,
3,799,1.6042072772979736,0.5848320722579956,1.019375205039978,,,,
3,799,,,,1.5540472269058228,0.5725115537643433,0.9815359711647034,0.9363555312156677
4,849,1.5464452505111694,0.5928980708122253,0.9535471796989441,,,,
4,899,1.4193832874298096,0.5247926115989685,0.8945906758308411,,,,
4,949,1.4716796875,0.5165598392486572,0.9551198482513428,,,,
4,999,1.4421855211257935,0.5217673778533936,0.9204181432723999,,,,
4,999,,,,1.4330986738204956,0.5201978087425232,0.9129011034965515,0.9752940535545349
5,1049,1.3067591190338135,0.4717412292957306,0.8350179195404053,,,,
5,1099,1.3224260807037354,0.4768361449241638,0.8455899953842163,,,,
5,1149,1.2989171743392944,0.49050644040107727,0.8084107041358948,,,,
5,1199,1.3040060997009277,0.4883178472518921,0.8156881928443909,,,,
5,1199,,,,1.2757909297943115,0.4755977690219879,0.8001930117607117,0.9272558689117432
6,1249,1.3802422285079956,0.5285656452178955,0.8516765832901001,,,,
6,1299,1.1904577016830444,0.4392557144165039,0.7512019872665405,,,,
6,1349,1.154874563217163,0.4201743006706238,0.7347002625465393,,,,
6,1399,1.2580426931381226,0.47688499093055725,0.7811577320098877,,,,
6,1399,,,,1.1989660263061523,0.4447057247161865,0.7542601823806763,0.9459055066108704
7,1449,1.168038249015808,0.4279467761516571,0.7400915026664734,,,,
7,1499,1.148919939994812,0.45571765303611755,0.6932023167610168,,,,
7,1549,1.0737475156784058,0.4103529155254364,0.6633946299552917,,,,
7,1599,1.166444182395935,0.44088953733444214,0.7255546450614929,,,,
7,1599,,,,1.1258760690689087,0.4210270941257477,0.7048488855361938,0.9619697332382202
8,1649,1.0389316082000732,0.36652764678001404,0.6724039316177368,,,,
8,1699,1.0518659353256226,0.3919987976551056,0.6598671674728394,,,,
8,1749,1.064000129699707,0.42460933327674866,0.6393908262252808,,,,
8,1799,1.0815502405166626,0.4292970597743988,0.6522531509399414,,,,
8,1799,,,,1.0508615970611572,0.40514594316482544,0.6457157135009766,0.9598687887191772
9,1849,1.0780715942382812,0.42837458848953247,0.6496970653533936,,,,
9,1899,1.0328969955444336,0.4106971323490143,0.6221998333930969,,,,
9,1949,1.1763280630111694,0.41563817858695984,0.760689914226532,,,,
9,1999,1.0719680786132812,0.41923266649246216,0.6527354121208191,,,,
9,1999,,,,1.0159103870391846,0.39198222756385803,0.6239281892776489,0.982077956199646
10,2049,1.0618664026260376,0.436949759721756,0.624916672706604,,,,
10,2099,1.037156581878662,0.4308270215988159,0.606329619884491,,,,
10,2149,0.9227781295776367,0.3595482409000397,0.5632299184799194,,,,
10,2199,0.9446568489074707,0.3626066744327545,0.5820502042770386,,,,
10,2199,,,,0.972042441368103,0.3838197886943817,0.5882225632667542,0.964393675327301
11,2249,0.9153434038162231,0.3573898673057556,0.5579535365104675,,,,
11,2299,1.060124397277832,0.39232075214385986,0.6678036451339722,,,,
11,2349,0.935922384262085,0.36147281527519226,0.5744495391845703,,,,
11,2399,0.8492735028266907,0.3316359519958496,0.5176375508308411,,,,
11,2399,,,,0.9489245414733887,0.3785727024078369,0.5703518390655518,0.9610456228256226
12,2449,0.903314471244812,0.36374416947364807,0.5395702719688416,,,,
12,2499,0.9970053434371948,0.39683493971824646,0.6001704335212708,,,,
12,2549,0.9199764728546143,0.3817722499370575,0.5382041931152344,,,,
12,2599,0.9646360278129578,0.3821505904197693,0.5824854373931885,,,,
