epoch,step,train/cfm_loss,train/loss,val/best_sample_rmse,val/cfm_loss,val/loss,val/object_rmse_whitened,val/rank_std,val/sample_mean_rmse,val/sample_spread
0,49,1.8708908557891846,1.8708908557891846,,,,,,,
0,99,1.757899522781372,1.757899522781372,,,,,,,
0,149,1.9189908504486084,1.9189908504486084,,,,,,,
0,199,1.569817304611206,1.569817304611206,,,,,,,
0,199,,,0.9873336553573608,1.672428846359253,1.672428846359253,0.8789324164390564,1.0072225332260132,0.9801135659217834,0.9601026177406311
1,249,1.5728074312210083,1.5728074312210083,,,,,,,
1,299,1.5695858001708984,1.5695858001708984,,,,,,,
1,349,1.4852231740951538,1.4852231740951538,,,,,,,
1,399,1.671926736831665,1.671926736831665,,,,,,,
1,399,,,0.979389488697052,1.595686912536621,1.595686912536621,0.8584785461425781,1.0059843063354492,0.9761078953742981,0.9594266414642334
2,449,1.583676815032959,1.583676815032959,,,,,,,
2,499,1.5333142280578613,1.5333142280578613,,,,,,,
2,549,1.5204919576644897,1.5204919576644897,,,,,,,
2,599,1.572312831878662,1.572312831878662,,,,,,,
2,599,,,0.9623091220855713,1.5677587985992432,1.5677587985992432,0.826987624168396,1.0189799070358276,0.9676809310913086,0.9218243956565857
3,649,1.5552091598510742,1.5552091598510742,,,,,,,
3,699,1.6251546144485474,1.6251546144485474,,,,,,,
3,749,1.5696340799331665,1.5696340799331665,,,,,,,
3,799,1.5864406824111938,1.5864406824111938,,,,,,,
3,799,,,0.9645565748214722,1.5615962743759155,1.5615962743759155,0.8135029077529907,1.0035501718521118,0.9671645760536194,0.9396361112594604
4,849,1.5372865200042725,1.5372865200042725,,,,,,,
4,899,1.440813422203064,1.440813422203064,,,,,,,
4,949,1.6120268106460571,1.6120268106460571,,,,,,,
4,999,1.5185141563415527,1.5185141563415527,,,,,,,
4,999,,,0.9515621662139893,1.5383373498916626,1.5383373498916626,0.7985794544219971,1.0117038488388062,0.959182620048523,0.9155521392822266
5,1049,1.638197422027588,1.638197422027588,,,,,,,
5,1099,1.4727638959884644,1.4727638959884644,,,,,,,
5,1149,1.381601095199585,1.381601095199585,,,,,,,
5,1199,1.5559258460998535,1.5559258460998535,,,,,,,
5,1199,,,0.9482892751693726,1.5147874355316162,1.5147874355316162,0.790381133556366,1.0027276277542114,0.9549713730812073,0.9192889332771301
6,1249,1.4433534145355225,1.4433534145355225,,,,,,,
6,1299,1.5813572406768799,1.5813572406768799,,,,,,,
6,1349,1.5506926774978638,1.5506926774978638,,,,,,,
6,1399,1.546079158782959,1.546079158782959,,,,,,,
6,1399,,,0.9415804147720337,1.5058175325393677,1.5058175325393677,0.7878257036209106,1.0035548210144043,0.9528179168701172,0.9079053401947021
7,1449,1.4861805438995361,1.4861805438995361,,,,,,,
7,1499,1.467372179031372,1.467372179031372,,,,,,,
7,1549,1.560140609741211,1.560140609741211,,,,,,,
7,1599,1.4842133522033691,1.4842133522033691,,,,,,,
7,1599,,,0.926940381526947,1.4990428686141968,1.4990428686141968,0.7831847071647644,1.0119081735610962,0.9484661817550659,0.8911095857620239
8,1649,1.5134339332580566,1.5134339332580566,,,,,,,
8,1699,1.4696364402770996,1.4696364402770996,,,,,,,
8,1749,1.4810798168182373,1.4810798168182373,,,,,,,
8,1799,1.4179102182388306,1.4179102182388306,,,,,,,
8,1799,,,0.9361928701400757,1.481543779373169,1.481543779373169,0.7870500683784485,1.0034908056259155,0.9498622417449951,0.9129263758659363
9,1849,1.4176019430160522,1.4176019430160522,,,,,,,
9,1899,1.4741257429122925,1.4741257429122925,,,,,,,
9,1949,1.5127919912338257,1.5127919912338257,,,,,,,
9,1999,1.4689648151397705,1.4689648151397705,,,,,,,
9,1999,,,0.9296059608459473,1.4671326875686646,1.4671326875686646,0.7782819271087646,0.9916980862617493,0.9447106719017029,0.9123021364212036
10,2049,1.296710729598999,1.296710729598999,,,,,,,
10,2099,1.4030075073242188,1.4030075073242188,,,,,,,
10,2149,1.4758137464523315,1.4758137464523315,,,,,,,
10,2199,1.3865326642990112,1.3865326642990112,,,,,,,
10,2199,,,0.9231812953948975,1.4682711362838745,1.4682711362838745,0.7854714393615723,1.0063586235046387,0.9448390007019043,0.8892329931259155
11,2249,1.4413082599639893,1.4413082599639893,,,,,,,
11,2299,1.4107977151870728,1.4107977151870728,,,,,,,
11,2349,1.4905518293380737,1.4905518293380737,,,,,,,
11,2399,1.3038231134414673,1.3038231134414673,,,,,,,
11,2399,,,0.9219886660575867,1.4509234428405762,1.4509234428405762,0.7744532823562622,1.0010758638381958,0.9416305422782898,0.9030444622039795
12,2449,1.4479392766952515,1.4479392766952515,,,,,,,
12,2499,1.4512300491333008,1.4512300491333008,,,,,,,
12,2549,1.4562383890151978,1.4562383890151978,,,,,,,
12,2599,1.4126098155975342,1.4126098155975342,,,,,,,
12,2599,,,0.9116387963294983,1.437098741531372,1.437098741531372,0.7712299227714539,1.0051594972610474,0.9370182752609253,0.8775095343589783
13,2649,1.4532383680343628,1.4532383680343628,,,,,,,
13,2699,1.3370025157928467,1.3370025157928467,,,,,,,
13,2749,1.4428883790969849,1.4428883790969849,,,,,,,
13,2799,1.4131263494491577,1.4131263494491577,,,,,,,
13,2799,,,0.9146531820297241,1.443268060684204,1.443268060684204,0.7711302042007446,1.002333641052246,0.936512291431427,0.8913599252700806
14,2849,1.3526068925857544,1.3526068925857544,,,,,,,
14,2899,1.3913687467575073,1.3913687467575073,,,,,,,
14,2949,1.4448617696762085,1.4448617696762085,,,,,,,
14,2999,1.5429770946502686,1.5429770946502686,,,,,,,
14,2999,,,0.9133647680282593,1.4344500303268433,1.4344500303268433,0.7734096646308899,0.9889447093009949,0.9370484948158264,0.8916771411895752
15,3049,1.3550987243652344,1.3550987243652344,,,,,,,
15,3099,1.3755134344100952,1.3755134344100952,,,,,,,
15,3149,1.3120007514953613,1.3120007514953613,,,,,,,
15,3199,1.4037230014801025,1.4037230014801025,,,,,,,
15,3199,,,0.9003371596336365,1.4245028495788574,1.4245028495788574,0.7657765746116638,0.9918704032897949,0.9314573407173157,0.8827009797096252
16,3249,1.3605979681015015,1.3605979681015015,,,,,,,
16,3299,1.2911344766616821,1.2911344766616821,,,,,,,
16,3349,1.3243932723999023,1.3243932723999023,,,,,,,
16,3399,1.319529414176941,1.319529414176941,,,,,,,
16,3399,,,0.9001076817512512,1.4198791980743408,1.4198791980743408,0.7656130194664001,0.9995256066322327,0.9293114542961121,0.8782796859741211
17,3449,1.3633519411087036,1.3633519411087036,,,,,,,
17,3499,1.318461537361145,1.318461537361145,,,,,,,
17,3549,1.3863712549209595,1.3863712549209595,,,,,,,
17,3599,1.4428422451019287,1.4428422451019287,,,,,,,
17,3599,,,0.8915007710456848,1.4164149761199951,1.4164149761199951,0.7722305059432983,1.0144071578979492,0.9266048073768616,0.8703622221946716
18,3649,1.3277266025543213,1.3277266025543213,,,,,,,
18,3699,1.2943763732910156,1.2943763732910156,,,,,,,
18,3749,1.3475937843322754,1.3475937843322754,,,,,,,
18,3799,1.2842328548431396,1.2842328548431396,,,,,,,
18,3799,,,0.8934546709060669,1.4008979797363281,1.4008979797363281,0.7782827019691467,1.0037932395935059,0.9222144484519958,0.8742735981941223
19,3849,1.398506760597229,1.398506760597229,,,,,,,
19,3899,1.3729522228240967,1.3729522228240967,,,,,,,
19,3949,1.3085123300552368,1.3085123300552368,,,,,,,
19,3999,1.3659088611602783,1.3659088611602783,,,,,,,
19,3999,,,0.8892936110496521,1.3934590816497803,1.3934590816497803,0.7661031484603882,0.9886687994003296,0.9157698750495911,0.8856818675994873
20,4049,1.4650013446807861,1.4650013446807861,,,,,,,
20,4099,1.299990177154541,1.299990177154541,,,,,,,
20,4149,1.3444750308990479,1.3444750308990479,,,,,,,
20,4199,1.2864221334457397,1.2864221334457397,,,,,,,
20,4199,,,0.8717332482337952,1.3816214799880981,1.3816214799880981,0.7635368704795837,1.0137240886688232,0.9127644300460815,0.8485032320022583
21,4249,1.4385113716125488,1.4385113716125488,,,,,,,
21,4299,1.3660240173339844,1.3660240173339844,,,,,,,
21,4349,1.3473507165908813,1.3473507165908813,,,,,,,
21,4399,1.478951334953308,1.478951334953308,,,,,,,
21,4399,,,0.8788254261016846,1.3706597089767456,1.3706597089767456,0.7695881724357605,0.9912617206573486,0.9095853567123413,0.8690189123153687
22,4449,1.2757911682128906,1.2757911682128906,,,,,,,
22,4499,1.2096232175827026,1.2096232175827026,,,,,,,
22,4549,1.279971957206726,1.279971957206726,,,,,,,
22,4599,1.4023067951202393,1.4023067951202393,,,,,,,
22,4599,,,0.8693167567253113,1.372278094291687,1.372278094291687,0.7578315734863281,0.9948524236679077,0.9051188826560974,0.8583719730377197
23,4649,1.3321428298950195,1.3321428298950195,,,,,,,
23,4699,1.2906179428100586,1.2906179428100586,,,,,,,
23,4749,1.4028996229171753,1.4028996229171753,,,,,,,
23,4799,1.2618248462677002,1.2618248462677002,,,,,,,
23,4799,,,0.8681656122207642,1.369222640991211,1.369222640991211,0.7600954174995422,1.016912817955017,0.9036027789115906,0.8474311232566833
24,4849,1.4675371646881104,1.4675371646881104,,,,,,,
24,4899,1.3082435131072998,1.3082435131072998,,,,,,,
24,4949,1.4502272605895996,1.4502272605895996,,,,,,,
24,4999,1.3136048316955566,1.3136048316955566,,,,,,,
24,4999,,,0.8520182967185974,1.3472872972488403,1.3472872972488403,0.7585261464118958,1.0074673891067505,0.8962708115577698,0.8358288407325745
25,5049,1.2790710926055908,1.2790710926055908,,,,,,,
25,5099,1.2913304567337036,1.2913304567337036,,,,,,,
25,5149,1.3217887878417969,1.3217887878417969,,,,,,,
25,5199,1.2804020643234253,1.2804020643234253,,,,,,,
25,5199,,,0.8533684611320496,1.3430328369140625,1.3430328369140625,0.7584057450294495,1.0030165910720825,0.8947690725326538,0.8370083570480347
26,5249,1.3418195247650146,1.3418195247650146,,,,,,,
26,5299,1.356311559677124,1.356311559677124,,,,,,,
26,5349,1.3744436502456665,1.3744436502456665,,,,,,,
26,5399,1.2800798416137695,1.2800798416137695,,,,,,,
26,5399,,,0.8555791974067688,1.3331218957901,1.3331218957901,0.7599483728408813,0.9935991168022156,0.8926411271095276,0.8517100214958191
27,5449,1.4309738874435425,1.4309738874435425,,,,,,,
27,5499,1.300053596496582,1.300053596496582,,,,,,,
27,5549,1.391696810722351,1.391696810722351,,,,,,,
27,5599,1.203211784362793,1.203211784362793,,,,,,,
27,5599,,,0.8457602858543396,1.3265042304992676,1.3265042304992676,0.7554733157157898,1.0108681917190552,0.8906063437461853,0.8185088634490967
28,5649,1.3830578327178955,1.3830578327178955,,,,,,,
28,5699,1.365739345550537,1.365739345550537,,,,,,,
28,5749,1.2226210832595825,1.2226210832595825,,,,,,,
28,5799,1.1954710483551025,1.1954710483551025,,,,,,,
28,5799,,,0.8381840586662292,1.3157567977905273,1.3157567977905273,0.7543061971664429,1.017939567565918,0.8841081261634827,0.8133257627487183
29,5849,1.2597309350967407,1.2597309350967407,,,,,,,
29,5899,1.2607955932617188,1.2607955932617188,,,,,,,
29,5949,1.3659452199935913,1.3659452199935913,,,,,,,
29,5999,1.2029218673706055,1.2029218673706055,,,,,,,
29,5999,,,0.8513163924217224,1.3215909004211426,1.3215909004211426,0.7551332116127014,0.9932442903518677,0.8880375623703003,0.8480715155601501
30,6049,1.2494333982467651,1.2494333982467651,,,,,,,
30,6099,1.274371862411499,1.274371862411499,,,,,,,
30,6149,1.3402985334396362,1.3402985334396362,,,,,,,
30,6199,1.3149093389511108,1.3149093389511108,,,,,,,
30,6199,,,0.8408761024475098,1.3094604015350342,1.3094604015350342,0.7544998526573181,0.9856129288673401,0.8816003799438477,0.8469787240028381
31,6249,1.296661376953125,1.296661376953125,,,,,,,
31,6299,1.2801926136016846,1.2801926136016846,,,,,,,
31,6349,1.3662080764770508,1.3662080764770508,,,,,,,
31,6399,1.2593810558319092,1.2593810558319092,,,,,,,
31,6399,,,0.8382465243339539,1.3223000764846802,1.3223000764846802,0.7550511360168457,0.9887466430664062,0.8808693885803223,0.8338953852653503
32,6449,1.2737137079238892,1.2737137079238892,,,,,,,
32,6499,1.268994688987732,1.268994688987732,,,,,,,
32,6549,1.2150143384933472,1.2150143384933472,,,,,,,
32,6599,1.316056251525879,1.316056251525879,,,,,,,
32,6599,,,0.8328912854194641,1.3038381338119507,1.3038381338119507,0.7666578888893127,1.0090687274932861,0.8788718581199646,0.8189911246299744
33,6649,1.3202619552612305,1.3202619552612305,,,,,,,
33,6699,1.303832769393921,1.303832769393921,,,,,,,
33,6749,1.3320287466049194,1.3320287466049194,,,,,,,
33,6799,1.3299543857574463,1.3299543857574463,,,,,,,
33,6799,,,0.8183333277702332,1.2899370193481445,1.2899370193481445,0.7529249787330627,1.019091010093689,0.8714190125465393,0.7941981554031372
34,6849,1.2662482261657715,1.2662482261657715,,,,,,,
34,6899,1.2651457786560059,1.2651457786560059,,,,,,,
34,6949,1.382311224937439,1.382311224937439,,,,,,,
34,6999,1.2350608110427856,1.2350608110427856,,,,,,,
34,6999,,,0.818657636642456,1.2874690294265747,1.2874690294265747,0.757714569568634,1.001770257949829,0.8714836239814758,0.8038562536239624
35,7049,1.3301371335983276,1.3301371335983276,,,,,,,
35,7099,1.3482739925384521,1.3482739925384521,,,,,,,
35,7149,1.210784673690796,1.210784673690796,,,,,,,
35,7199,1.304152488708496,1.304152488708496,,,,,,,
35,7199,,,0.8129028081893921,1.277400255203247,1.277400255203247,0.7549098134040833,1.0034421682357788,0.8653103709220886,0.800074577331543
36,7249,1.1571637392044067,1.1571637392044067,,,,,,,
36,7299,1.2157968282699585,1.2157968282699585,,,,,,,
36,7349,1.4696308374404907,1.4696308374404907,,,,,,,
36,7399,1.133699655532837,1.133699655532837,,,,,,,
36,7399,,,0.816030740737915,1.267899513244629,1.267899513244629,0.7509961724281311,1.014639973640442,0.8646316528320312,0.7984057068824768
37,7449,1.354438066482544,1.354438066482544,,,,,,,
37,7499,1.2852836847305298,1.2852836847305298,,,,,,,
37,7549,1.2955344915390015,1.2955344915390015,,,,,,,
37,7599,1.2417343854904175,1.2417343854904175,,,,,,,
37,7599,,,0.8106799125671387,1.2622624635696411,1.2622624635696411,0.751266598701477,1.0032535791397095,0.8605541586875916,0.8007218837738037
38,7649,1.1891593933105469,1.1891593933105469,,,,,,,
38,7699,1.2876832485198975,1.2876832485198975,,,,,,,
38,7749,1.1651625633239746,1.1651625633239746,,,,,,,
38,7799,1.1936310529708862,1.1936310529708862,,,,,,,
38,7799,,,0.8072201609611511,1.2620172500610352,1.2620172500610352,0.7559518218040466,0.9927018284797668,0.860733687877655,0.8074533343315125
39,7849,1.3438297510147095,1.3438297510147095,,,,,,,
39,7899,1.3082941770553589,1.3082941770553589,,,,,,,
39,7949,1.2111451625823975,1.2111451625823975,,,,,,,
39,7999,1.2105178833007812,1.2105178833007812,,,,,,,
39,7999,,,0.8026353120803833,1.2421354055404663,1.2421354055404663,0.7552945613861084,1.0050874948501587,0.8543258309364319,0.7872082591056824
40,8049,1.1886875629425049,1.1886875629425049,,,,,,,
40,8099,1.1854439973831177,1.1854439973831177,,,,,,,
40,8149,1.2545768022537231,1.2545768022537231,,,,,,,
40,8199,1.1738089323043823,1.1738089323043823,,,,,,,
40,8199,,,0.8086109757423401,1.2581901550292969,1.2581901550292969,0.7588754296302795,0.9877251982688904,0.8587520122528076,0.8097992539405823
41,8249,1.265589952468872,1.265589952468872,,,,,,,
41,8299,1.2615323066711426,1.2615323066711426,,,,,,,
41,8349,1.2602729797363281,1.2602729797363281,,,,,,,
41,8399,1.173093557357788,1.173093557357788,,,,,,,
41,8399,,,0.7969608306884766,1.235526204109192,1.235526204109192,0.7445017695426941,0.9977355003356934,0.8481644988059998,0.7889951467514038
42,8449,1.3621057271957397,1.3621057271957397,,,,,,,
42,8499,1.223859429359436,1.223859429359436,,,,,,,
42,8549,1.210976481437683,1.210976481437683,,,,,,,
42,8599,1.3178422451019287,1.3178422451019287,,,,,,,
42,8599,,,0.7914839386940002,1.241007924079895,1.241007924079895,0.7503106594085693,1.0009020566940308,0.851287305355072,0.7891241312026978
43,8649,1.193207025527954,1.193207025527954,,,,,,,
43,8699,1.3493610620498657,1.3493610620498657,,,,,,,
43,8749,1.198228359222412,1.198228359222412,,,,,,,
43,8799,1.124392032623291,1.124392032623291,,,,,,,
43,8799,,,0.7886064052581787,1.2232662439346313,1.2232662439346313,0.7498103380203247,0.994286298751831,0.8449690937995911,0.7807520627975464
44,8849,1.3137321472167969,1.3137321472167969,,,,,,,
44,8899,1.2397360801696777,1.2397360801696777,,,,,,,
44,8949,1.221932053565979,1.221932053565979,,,,,,,
44,8999,1.2081341743469238,1.2081341743469238,,,,,,,
44,8999,,,0.7876352071762085,1.2161729335784912,1.2161729335784912,0.7460915446281433,0.9857519865036011,0.8404746055603027,0.7873674035072327
45,9049,1.2726362943649292,1.2726362943649292,,,,,,,
45,9099,1.2411706447601318,1.2411706447601318,,,,,,,
45,9149,1.1992809772491455,1.1992809772491455,,,,,,,
45,9199,1.2073732614517212,1.2073732614517212,,,,,,,
45,9199,,,0.7833809852600098,1.2081141471862793,1.2081141471862793,0.746250569820404,0.9880682229995728,0.8401171565055847,0.7889626622200012
46,9249,1.2347313165664673,1.2347313165664673,,,,,,,
46,9299,1.184425950050354,1.184425950050354,,,,,,,
46,9349,1.255812644958496,1.255812644958496,,,,,,,
46,9399,1.335605263710022,1.335605263710022,,,,,,,
46,9399,,,0.7929999232292175,1.2196842432022095,1.2196842432022095,0.7555587887763977,0.9826043248176575,0.8407130837440491,0.7962276339530945
47,9449,1.3092215061187744,1.3092215061187744,,,,,,,
47,9499,1.2088111639022827,1.2088111639022827,,,,,,,
47,9549,1.1685338020324707,1.1685338020324707,,,,,,,
47,9599,1.1970627307891846,1.1970627307891846,,,,,,,
47,9599,,,0.7774408459663391,1.2146852016448975,1.2146852016448975,0.7484175562858582,1.0133172273635864,0.8396478891372681,0.7599751949310303
48,9649,1.239626407623291,1.239626407623291,,,,,,,
48,9699,1.1272797584533691,1.1272797584533691,,,,,,,
48,9749,1.1851000785827637,1.1851000785827637,,,,,,,
48,9799,1.2041507959365845,1.2041507959365845,,,,,,,
48,9799,,,0.7774936556816101,1.2118268013000488,1.2118268013000488,0.7451115846633911,1.0045007467269897,0.8336799740791321,0.7754121422767639
49,9849,1.1636416912078857,1.1636416912078857,,,,,,,
49,9899,1.1757640838623047,1.1757640838623047,,,,,,,
49,9949,1.1829283237457275,1.1829283237457275,,,,,,,
49,9999,1.2673165798187256,1.2673165798187256,,,,,,,
49,9999,,,0.7818764448165894,1.2088898420333862,1.2088898420333862,0.7491439580917358,0.99521803855896,0.8357041478157043,0.7847439050674438
50,10049,1.1914469003677368,1.1914469003677368,,,,,,,
50,10099,1.1535109281539917,1.1535109281539917,,,,,,,
50,10149,1.1932364702224731,1.1932364702224731,,,,,,,
50,10199,1.2362967729568481,1.2362967729568481,,,,,,,
50,10199,,,0.7590455412864685,1.1900972127914429,1.1900972127914429,0.7415682077407837,0.996428370475769,0.8274762630462646,0.7547582983970642
51,10249,1.1475695371627808,1.1475695371627808,,,,,,,
51,10299,1.1957261562347412,1.1957261562347412,,,,,,,
51,10349,1.2251219749450684,1.2251219749450684,,,,,,,
51,10399,1.171988844871521,1.171988844871521,,,,,,,
51,10399,,,0.7721688151359558,1.1914118528366089,1.1914118528366089,0.7496834993362427,1.0097166299819946,0.8323414921760559,0.7537559270858765
52,10449,1.2009044885635376,1.2009044885635376,,,,,,,
52,10499,1.2169127464294434,1.2169127464294434,,,,,,,
52,10549,1.2188161611557007,1.2188161611557007,,,,,,,
52,10599,1.214835286140442,1.214835286140442,,,,,,,
52,10599,,,0.7735635638237,1.1961596012115479,1.1961596012115479,0.7518322467803955,0.9979554414749146,0.8338998556137085,0.7748479247093201
53,10649,1.166303277015686,1.166303277015686,,,,,,,
53,10699,1.1650960445404053,1.1650960445404053,,,,,,,
53,10749,1.2361466884613037,1.2361466884613037,,,,,,,
53,10799,1.1617815494537354,1.1617815494537354,,,,,,,
53,10799,,,0.7703643441200256,1.1833940744400024,1.1833940744400024,0.7454119324684143,1.0012500286102295,0.826432466506958,0.7671502828598022
54,10849,1.179404616355896,1.179404616355896,,,,,,,
54,10899,1.1466141939163208,1.1466141939163208,,,,,,,
54,10949,1.2035499811172485,1.2035499811172485,,,,,,,
54,10999,1.250102162361145,1.250102162361145,,,,,,,
54,10999,,,0.7583964467048645,1.1833466291427612,1.1833466291427612,0.7419869303703308,1.0059386491775513,0.8269204497337341,0.7567444443702698
55,11049,1.147356629371643,1.147356629371643,,,,,,,
55,11099,1.1845639944076538,1.1845639944076538,,,,,,,
55,11149,1.1794124841690063,1.1794124841690063,,,,,,,
55,11199,1.1235947608947754,1.1235947608947754,,,,,,,
55,11199,,,0.7632424235343933,1.18404221534729,1.18404221534729,0.7413758635520935,1.0012096166610718,0.8241180777549744,0.763481855392456
56,11249,1.116334080696106,1.116334080696106,,,,,,,
56,11299,1.1622737646102905,1.1622737646102905,,,,,,,
56,11349,1.1935447454452515,1.1935447454452515,,,,,,,
56,11399,1.1473934650421143,1.1473934650421143,,,,,,,
56,11399,,,0.7602353692054749,1.1757522821426392,1.1757522821426392,0.743843138217926,0.9978498816490173,0.821460485458374,0.7558314800262451
57,11449,1.176447868347168,1.176447868347168,,,,,,,
57,11499,1.2524741888046265,1.2524741888046265,,,,,,,
57,11549,1.1357907056808472,1.1357907056808472,,,,,,,
57,11599,1.1814862489700317,1.1814862489700317,,,,,,,
57,11599,,,0.7476081848144531,1.1692941188812256,1.1692941188812256,0.7430166006088257,0.9946907162666321,0.8190196752548218,0.7454030513763428
58,11649,1.1480700969696045,1.1480700969696045,,,,,,,
58,11699,1.255419373512268,1.255419373512268,,,,,,,
58,11749,1.1628762483596802,1.1628762483596802,,,,,,,
58,11799,1.125268816947937,1.125268816947937,,,,,,,
58,11799,,,0.7491064071655273,1.1677147150039673,1.1677147150039673,0.7434781789779663,1.0135498046875,0.8181301355361938,0.7445325255393982
59,11849,1.1683100461959839,1.1683100461959839,,,,,,,
59,11899,1.0545222759246826,1.0545222759246826,,,,,,,
59,11949,1.1877171993255615,1.1877171993255615,,,,,,,
59,11999,1.0448702573776245,1.0448702573776245,,,,,,,
59,11999,,,0.7472044229507446,1.169576644897461,1.169576644897461,0.7480161190032959,1.0056254863739014,0.8193989396095276,0.7386735081672668
60,12049,1.2255772352218628,1.2255772352218628,,,,,,,
60,12099,1.1121317148208618,1.1121317148208618,,,,,,,
60,12149,1.1763750314712524,1.1763750314712524,,,,,,,
60,12199,1.0964739322662354,1.0964739322662354,,,,,,,
60,12199,,,0.7490394115447998,1.168195366859436,1.168195366859436,0.7419357299804688,1.0154922008514404,0.8192346096038818,0.7398152351379395
61,12249,1.1957666873931885,1.1957666873931885,,,,,,,
61,12299,1.2712661027908325,1.2712661027908325,,,,,,,
61,12349,1.0717741250991821,1.0717741250991821,,,,,,,
61,12399,1.1409528255462646,1.1409528255462646,,,,,,,
61,12399,,,0.7465255856513977,1.1637279987335205,1.1637279987335205,0.7483473420143127,1.017975926399231,0.8144159317016602,0.7336364984512329
62,12449,1.190219759941101,1.190219759941101,,,,,,,
62,12499,1.1694777011871338,1.1694777011871338,,,,,,,
62,12549,1.146244764328003,1.146244764328003,,,,,,,
62,12599,1.1380326747894287,1.1380326747894287,,,,,,,
62,12599,,,0.7465007901191711,1.1619478464126587,1.1619478464126587,0.7358940839767456,0.9997862577438354,0.8141583800315857,0.7463159561157227
63,12649,1.2951103448867798,1.2951103448867798,,,,,,,
63,12699,1.0670877695083618,1.0670877695083618,,,,,,,
63,12749,1.2191810607910156,1.2191810607910156,,,,,,,
63,12799,1.1764248609542847,1.1764248609542847,,,,,,,
63,12799,,,0.743500292301178,1.1628881692886353,1.1628881692886353,0.7392092943191528,1.002530574798584,0.8153654336929321,0.7450962662696838
64,12849,1.1250494718551636,1.1250494718551636,,,,,,,
64,12899,1.1740778684616089,1.1740778684616089,,,,,,,
64,12949,1.2558062076568604,1.2558062076568604,,,,,,,
64,12999,1.0835286378860474,1.0835286378860474,,,,,,,
64,12999,,,0.7497864961624146,1.158394455909729,1.158394455909729,0.7419870495796204,0.9983832240104675,0.8149616718292236,0.7487751245498657
65,13049,1.1527942419052124,1.1527942419052124,,,,,,,
65,13099,1.1291918754577637,1.1291918754577637,,,,,,,
65,13149,1.13219153881073,1.13219153881073,,,,,,,
65,13199,1.0929884910583496,1.0929884910583496,,,,,,,
65,13199,,,0.7398850321769714,1.1510202884674072,1.1510202884674072,0.7411882877349854,1.0081387758255005,0.811873197555542,0.7350679039955139
66,13249,1.2132725715637207,1.2132725715637207,,,,,,,
66,13299,1.0473204851150513,1.0473204851150513,,,,,,,
66,13349,1.1475989818572998,1.1475989818572998,,,,,,,
66,13399,1.182018756866455,1.182018756866455,,,,,,,
66,13399,,,0.7484681010246277,1.1586060523986816,1.1586060523986816,0.7490049004554749,0.99189293384552,0.8127261400222778,0.7533795833587646
67,13449,1.1315312385559082,1.1315312385559082,,,,,,,
67,13499,1.1504868268966675,1.1504868268966675,,,,,,,
67,13549,1.162866473197937,1.162866473197937,,,,,,,
67,13599,1.0346254110336304,1.0346254110336304,,,,,,,
67,13599,,,0.7338774800300598,1.1421082019805908,1.1421082019805908,0.7418165802955627,1.0163867473602295,0.8115330338478088,0.7254260182380676
68,13649,1.056782603263855,1.056782603263855,,,,,,,
68,13699,1.069766640663147,1.069766640663147,,,,,,,
68,13749,1.1200224161148071,1.1200224161148071,,,,,,,
68,13799,1.106041431427002,1.106041431427002,,,,,,,
