epoch,step,train/loss,train/mu_mse,train/sigma_nll,train/weight_entropy,val/best_component_rmse,val/dominant_component_allocation,val/dominant_component_rmse,val/loss,val/mu_mse,val/sigma_nll,val/weight_entropy
0,99,2.180476427078247,1.0542834997177124,1.472766399383545,0.6931471824645996,,,,,,,
0,199,2.0895779132843018,0.9902690052986145,1.4458825588226318,0.6931471824645996,,,,,,,
0,199,,,,,0.9936702251434326,0.5,1.0075299739837646,2.100598096847534,1.0070257186889648,1.4401463270187378,0.6931474804878235
1,299,2.142324209213257,1.0381289720535278,1.4507688283920288,0.6931471824645996,,,,,,,
1,399,1.9416117668151855,0.9056235551834106,1.3825618028640747,0.6931471824645996,,,,,,,
1,399,,,,,0.9927123785018921,0.5,1.004657506942749,2.088901996612549,1.002977728843689,1.4324982166290283,0.6931474804878235
2,499,2.1692702770233154,1.051717758178711,1.4641262292861938,0.6931471824645996,,,,,,,
2,599,2.0428597927093506,0.9789161682128906,1.4105172157287598,0.6931471824645996,,,,,,,
2,599,,,,,0.9951425790786743,0.5,1.0010557174682617,2.0880141258239746,1.0023362636566162,1.4322514533996582,0.6931474804878235
3,699,2.057870388031006,0.9755057692527771,1.4289382696151733,0.6931471824645996,,,,,,,
3,799,2.0233066082000732,0.9594303965568542,1.410449743270874,0.6931471824645996,,,,,,,
3,799,,,,,0.9899556636810303,0.5,1.0034464597702026,2.084087610244751,0.9986613392829895,1.4319995641708374,0.6931474804878235
4,899,2.009080648422241,0.9511522054672241,1.4045019149780273,0.6931471824645996,,,,,,,
4,999,2.0051467418670654,0.9468637704849243,1.404856562614441,0.6931471824645996,,,,,,,
4,999,,,,,0.9905942678451538,0.5,1.0015878677368164,2.080324411392212,0.9979647994041443,1.4289326667785645,0.6931474804878235
5,1099,2.0824553966522217,1.0014169216156006,1.4276119470596313,0.6931471824645996,,,,,,,
5,1199,2.0925521850585938,1.005812168121338,1.4333136081695557,0.6931471824645996,,,,,,,
5,1199,,,,,0.9929255843162537,0.5,1.0047152042388916,2.0876657962799072,1.0029224157333374,1.4313173294067383,0.6931474804878235
6,1299,2.0496573448181152,0.9764902591705322,1.4197406768798828,0.6931471824645996,,,,,,,
6,1399,2.1914284229278564,1.082585096359253,1.4554170370101929,0.6931471824645996,,,,,,,
6,1399,,,,,0.9913979768753052,0.5,0.9986212253570557,2.074615478515625,0.9961188435554504,1.4250705242156982,0.6931474804878235
7,1499,2.0508739948272705,0.9861098527908325,1.4113377332687378,0.6931471824645996,,,,,,,
7,1599,2.1675145626068115,1.057924509048462,1.4561636447906494,0.6931471824645996,,,,,,,
7,1599,,,,,0.9908326864242554,0.5,1.0013856887817383,2.0784053802490234,0.9970207810401917,1.4279577732086182,0.6931474804878235
8,1699,2.1851940155029297,1.0740759372711182,1.4576916694641113,0.6931471824645996,,,,,,,
8,1799,2.058171272277832,0.985069215297699,1.4196757078170776,0.6931471824645996,,,,,,,
8,1799,,,,,0.9878485202789307,0.5,1.0040149688720703,2.0774548053741455,0.9963680505752563,1.427660346031189,0.6931474804878235
