epoch,step,train/cfm_loss,train/loss,val/best_sample_rmse,val/cfm_loss,val/loss,val/rank_std,val/sample_mean_rmse,val/sample_spread
0,99,2.0842318534851074,2.0842318534851074,,,,,,
0,199,1.7577155828475952,1.7577155828475952,,,,,,
0,199,,,0.9867882132530212,1.7627149820327759,1.7627149820327759,1.0013055801391602,1.0148077011108398,1.0112558603286743
1,299,1.5053110122680664,1.5053110122680664,,,,,,
1,399,1.4947839975357056,1.4947839975357056,,,,,,
1,399,,,0.9777287244796753,1.6830655336380005,1.6830655336380005,1.0188698768615723,1.0105364322662354,0.9753895401954651
2,499,1.5398699045181274,1.5398699045181274,,,,,,
2,599,1.5905894041061401,1.5905894041061401,,,,,,
2,599,,,0.9770582914352417,1.684984564781189,1.684984564781189,1.0208858251571655,1.0134066343307495,0.974055826663971
3,699,1.579163670539856,1.579163670539856,,,,,,
3,799,1.8215587139129639,1.8215587139129639,,,,,,
3,799,,,0.9763995409011841,1.6588220596313477,1.6588220596313477,1.0193564891815186,1.0098381042480469,0.9741067290306091
4,899,1.6814197301864624,1.6814197301864624,,,,,,
4,999,1.7523165941238403,1.7523165941238403,,,,,,
4,999,,,0.9783290028572083,1.6588921546936035,1.6588921546936035,1.0218709707260132,1.011192798614502,0.9694076776504517
5,1099,1.7901644706726074,1.7901644706726074,,,,,,
5,1199,1.5602805614471436,1.5602805614471436,,,,,,
5,1199,,,0.9940778017044067,1.6547682285308838,1.6547682285308838,0.9977332353591919,1.0125280618667603,1.0136628150939941
6,1299,1.7382802963256836,1.7382802963256836,,,,,,
6,1399,1.4783267974853516,1.4783267974853516,,,,,,
6,1399,,,0.9722878932952881,1.647415280342102,1.647415280342102,1.0256826877593994,1.0100756883621216,0.9639068841934204
7,1499,1.7595118284225464,1.7595118284225464,,,,,,
7,1599,1.5511001348495483,1.5511001348495483,,,,,,
7,1599,,,1.0015853643417358,1.6441601514816284,1.6441601514816284,0.9854411482810974,1.0114349126815796,1.035447359085083
8,1699,1.7585172653198242,1.7585172653198242,,,,,,
8,1799,1.8306074142456055,1.8306074142456055,,,,,,
8,1799,,,0.9801390767097473,1.646902322769165,1.646902322769165,1.0115340948104858,1.0085512399673462,0.9867616295814514
9,1899,1.5404704809188843,1.5404704809188843,,,,,,
9,1999,1.6761090755462646,1.6761090755462646,,,,,,
9,1999,,,0.9793314933776855,1.6441807746887207,1.6441807746887207,1.0164425373077393,1.010744571685791,0.9774723649024963
10,2099,1.5909532308578491,1.5909532308578491,,,,,,
10,2199,1.6240755319595337,1.6240755319595337,,,,,,
10,2199,,,0.9763434529304504,1.644412875175476,1.644412875175476,1.0112278461456299,1.009905219078064,0.9876983165740967
11,2299,1.6950628757476807,1.6950628757476807,,,,,,
11,2399,1.6214659214019775,1.6214659214019775,,,,,,
11,2399,,,0.9877467751502991,1.639158010482788,1.639158010482788,1.0086824893951416,1.0127496719360352,0.9942874908447266
12,2499,1.4748148918151855,1.4748148918151855,,,,,,
12,2599,1.5743411779403687,1.5743411779403687,,,,,,
12,2599,,,0.9923551082611084,1.6471260786056519,1.6471260786056519,1.0010685920715332,1.0119818449020386,1.0060616731643677
13,2699,1.7807974815368652,1.7807974815368652,,,,,,
13,2799,1.4949800968170166,1.4949800968170166,,,,,,
13,2799,,,0.9766119122505188,1.6391521692276,1.6391521692276,1.0174415111541748,1.0104008913040161,0.9766457676887512
14,2899,1.6553659439086914,1.6553659439086914,,,,,,
14,2999,1.597157597541809,1.597157597541809,,,,,,
14,2999,,,0.990260124206543,1.6333693265914917,1.6333693265914917,0.9948943853378296,1.0071027278900146,1.0132535696029663
15,3099,1.6953940391540527,1.6953940391540527,,,,,,
15,3199,1.5056333541870117,1.5056333541870117,,,,,,
15,3199,,,0.970822274684906,1.6374872922897339,1.6374872922897339,1.0185980796813965,1.0094740390777588,0.9715639352798462
16,3299,1.6229718923568726,1.6229718923568726,,,,,,
16,3399,1.6552003622055054,1.6552003622055054,,,,,,
16,3399,,,0.9802617430686951,1.6332664489746094,1.6332664489746094,1.0126248598098755,1.0101375579833984,0.9857128262519836
17,3499,1.6063019037246704,1.6063019037246704,,,,,,
17,3599,1.7192118167877197,1.7192118167877197,,,,,,
17,3599,,,0.9719148874282837,1.627859115600586,1.627859115600586,1.0228524208068848,1.0098459720611572,0.9626661539077759
18,3699,1.6445108652114868,1.6445108652114868,,,,,,
18,3799,1.7664527893066406,1.7664527893066406,,,,,,
18,3799,,,0.9752652049064636,1.6328504085540771,1.6328504085540771,1.0210367441177368,1.0108872652053833,0.9695370197296143
19,3899,1.472883939743042,1.472883939743042,,,,,,
19,3999,1.746678113937378,1.746678113937378,,,,,,
19,3999,,,0.9852659106254578,1.6232414245605469,1.6232414245605469,1.011319875717163,1.0101162195205688,0.9874373078346252
