epoch,step,train/cfm_loss,train/loss,val/best_sample_rmse,val/cfm_loss,val/loss,val/rank_std,val/sample_mean_rmse,val/sample_spread
0,49,1.7319812774658203,1.7319812774658203,,,,,,
0,99,1.793274998664856,1.793274998664856,,,,,,
0,149,1.5062048435211182,1.5062048435211182,,,,,,
0,199,1.527632713317871,1.527632713317871,,,,,,
0,199,,,0.8470852375030518,1.618370771408081,1.618370771408081,0.8735994696617126,0.8114122748374939,0.949630618095398
1,249,1.5242347717285156,1.5242347717285156,,,,,,
1,299,1.5102872848510742,1.5102872848510742,,,,,,
1,349,1.4615694284439087,1.4615694284439087,,,,,,
1,399,1.435124158859253,1.435124158859253,,,,,,
1,399,,,0.7368170022964478,1.3999764919281006,1.3999764919281006,0.8189860582351685,0.7249917387962341,0.8391066193580627
2,449,1.3393926620483398,1.3393926620483398,,,,,,
2,499,1.1284980773925781,1.1284980773925781,,,,,,
2,549,1.170099139213562,1.170099139213562,,,,,,
2,599,1.3221049308776855,1.3221049308776855,,,,,,
2,599,,,0.6452673077583313,1.2678611278533936,1.2678611278533936,0.8711369037628174,0.7020328044891357,0.7027730941772461
3,649,1.2447010278701782,1.2447010278701782,,,,,,
3,699,1.5156397819519043,1.5156397819519043,,,,,,
3,749,1.3358027935028076,1.3358027935028076,,,,,,
3,799,1.2729740142822266,1.2729740142822266,,,,,,
3,799,,,0.5883921980857849,1.1741209030151367,1.1741209030151367,0.903270959854126,0.6858285069465637,0.6268527507781982
4,849,1.4916874170303345,1.4916874170303345,,,,,,
4,899,1.2323980331420898,1.2323980331420898,,,,,,
4,949,1.1030577421188354,1.1030577421188354,,,,,,
4,999,1.1530277729034424,1.1530277729034424,,,,,,
4,999,,,0.576245129108429,1.1366199254989624,1.1366199254989624,0.9275375604629517,0.6793451905250549,0.6011743545532227
5,1049,1.1120105981826782,1.1120105981826782,,,,,,
5,1099,1.1496838331222534,1.1496838331222534,,,,,,
5,1149,1.1253173351287842,1.1253173351287842,,,,,,
5,1199,1.0599921941757202,1.0599921941757202,,,,,,
5,1199,,,0.5686490535736084,1.104106068611145,1.104106068611145,0.9115799069404602,0.6737484335899353,0.6008210778236389
6,1249,1.013449788093567,1.013449788093567,,,,,,
6,1299,1.0348480939865112,1.0348480939865112,,,,,,
6,1349,1.0046865940093994,1.0046865940093994,,,,,,
6,1399,0.9598285555839539,0.9598285555839539,,,,,,
6,1399,,,0.5512352585792542,1.0388379096984863,1.0388379096984863,0.9305787086486816,0.6680591106414795,0.5766493678092957
7,1449,1.115810513496399,1.115810513496399,,,,,,
7,1499,1.0830672979354858,1.0830672979354858,,,,,,
7,1549,1.274709701538086,1.274709701538086,,,,,,
7,1599,1.0594213008880615,1.0594213008880615,,,,,,
7,1599,,,0.5446749925613403,1.0002118349075317,1.0002118349075317,0.9296838641166687,0.6611121296882629,0.5728703141212463
8,1649,0.9735581278800964,0.9735581278800964,,,,,,
8,1699,0.9823880791664124,0.9823880791664124,,,,,,
8,1749,0.8777478337287903,0.8777478337287903,,,,,,
8,1799,1.0885744094848633,1.0885744094848633,,,,,,
8,1799,,,0.5450606346130371,0.9732820391654968,0.9732820391654968,0.9549853801727295,0.6656142473220825,0.5717950463294983
9,1849,1.0092382431030273,1.0092382431030273,,,,,,
9,1899,1.0297545194625854,1.0297545194625854,,,,,,
9,1949,0.8611869812011719,0.8611869812011719,,,,,,
9,1999,0.8583781719207764,0.8583781719207764,,,,,,
9,1999,,,0.5427877902984619,0.9229251742362976,0.9229251742362976,0.9230266809463501,0.6578827500343323,0.5704218149185181
10,2049,0.8917128443717957,0.8917128443717957,,,,,,
10,2099,0.899201512336731,0.899201512336731,,,,,,
10,2149,0.8705132603645325,0.8705132603645325,,,,,,
10,2199,1.0029994249343872,1.0029994249343872,,,,,,
10,2199,,,0.5434763431549072,0.909929096698761,0.909929096698761,0.9407193660736084,0.6539405584335327,0.5730091333389282
11,2249,0.9011544585227966,0.9011544585227966,,,,,,
11,2299,0.8690735697746277,0.8690735697746277,,,,,,
11,2349,0.9105231761932373,0.9105231761932373,,,,,,
11,2399,0.9331245422363281,0.9331245422363281,,,,,,
11,2399,,,0.5024720430374146,0.8466042280197144,0.8466042280197144,0.9270133972167969,0.6173551678657532,0.533403217792511
12,2449,0.7294759154319763,0.7294759154319763,,,,,,
12,2499,0.7025154232978821,0.7025154232978821,,,,,,
12,2549,1.102372646331787,1.102372646331787,,,,,,
12,2599,0.8490340709686279,0.8490340709686279,,,,,,
12,2599,,,0.474745512008667,0.7938053011894226,0.7938053011894226,0.9300870895385742,0.5859392285346985,0.5056853890419006
13,2649,0.8033015131950378,0.8033015131950378,,,,,,
13,2699,0.7394936680793762,0.7394936680793762,,,,,,
13,2749,0.7168057560920715,0.7168057560920715,,,,,,
13,2799,0.6396939754486084,0.6396939754486084,,,,,,
13,2799,,,0.43137311935424805,0.7639168500900269,0.7639168500900269,0.9794932007789612,0.5577842593193054,0.4335240125656128
14,2849,0.9640336632728577,0.9640336632728577,,,,,,
14,2899,0.5711747407913208,0.5711747407913208,,,,,,
14,2949,0.5504516363143921,0.5504516363143921,,,,,,
14,2999,0.7125638723373413,0.7125638723373413,,,,,,
14,2999,,,0.40179166197776794,0.7079700827598572,0.7079700827598572,0.9494279623031616,0.5151662826538086,0.42302799224853516
15,3049,0.6958653330802917,0.6958653330802917,,,,,,
15,3099,0.547161877155304,0.547161877155304,,,,,,
15,3149,0.5615979433059692,0.5615979433059692,,,,,,
15,3199,0.5388212203979492,0.5388212203979492,,,,,,
15,3199,,,0.3693506121635437,0.6555538177490234,0.6555538177490234,0.9220828413963318,0.4777812361717224,0.39393743872642517
16,3249,0.5645250082015991,0.5645250082015991,,,,,,
16,3299,0.45713117718696594,0.45713117718696594,,,,,,
16,3349,0.6096577644348145,0.6096577644348145,,,,,,
16,3399,0.5044545531272888,0.5044545531272888,,,,,,
16,3399,,,0.34209567308425903,0.6061702966690063,0.6061702966690063,0.8896557092666626,0.4467477798461914,0.3741210103034973
17,3449,0.581051766872406,0.581051766872406,,,,,,
17,3499,0.6130639314651489,0.6130639314651489,,,,,,
