epoch,step,train/loss,val/loss
0,49,1.0076990127563477,
0,99,0.873487651348114,
0,149,0.6807485818862915,
0,199,0.4679001569747925,
0,199,,0.4507039785385132
1,249,0.33082929253578186,
1,299,0.31081706285476685,
1,349,0.3186562657356262,
1,399,0.3312305808067322,
1,399,,0.3152133822441101
2,449,0.2764909863471985,
2,499,0.2664996087551117,
2,549,0.248103529214859,
2,599,0.2653610408306122,
2,599,,0.2626463770866394
3,649,0.23609933257102966,
3,699,0.2541489601135254,
3,749,0.2572711110115051,
3,799,0.2680831849575043,
3,799,,0.24625594913959503
4,849,0.2563299238681793,
4,899,0.2599099278450012,
4,949,0.2263908088207245,
4,999,0.24786317348480225,
4,999,,0.24129359424114227
